length	corrupt	iteration	seconds
10000	67	0	6.54157
10000	67	1	6.711552
10000	67	2	6.348626
10000	67	3	6.747032
10000	67	4	6.483648
10000	67	5	6.515298
10000	67	6	6.533714
10000	67	7	6.729945
10000	67	8	6.569683
10000	67	9	6.938034
10000	68	0	6.653057
10000	68	1	6.493636
10000	68	2	6.616862
10000	68	3	6.525019
10000	68	4	6.792878
10000	68	5	7.161563
10000	68	6	6.489633
10000	68	7	6.278287
10000	68	8	6.603902
10000	68	9	6.480346
10000	69	0	6.646229
10000	69	1	6.702504
10000	69	2	6.748413
10000	69	3	6.736897
10000	69	4	7.349746
10000	69	5	7.993628
10000	69	6	6.647353
10000	69	7	6.609107
10000	69	8	6.534651
10000	69	9	6.449368
10000	70	0	6.692077
10000	70	1	6.461723
10000	70	2	6.883503
10000	70	3	6.627917
10000	70	4	6.55047
10000	70	5	6.622154
10000	70	6	6.56744
10000	70	7	6.625972
10000	70	8	6.896534
10000	70	9	6.922139
10000	71	0	6.551021
10000	71	1	6.540718
10000	71	2	7.352521
10000	71	3	6.48153
10000	71	4	6.422964
10000	71	5	6.525619
10000	71	6	6.737687
10000	71	7	6.404875
10000	71	8	7.049527
10000	71	9	6.888711
10000	72	0	6.41285
10000	72	1	6.625918
10000	72	2	6.604276
10000	72	3	6.49917
10000	72	4	6.476114
10000	72	5	6.681849
10000	72	6	7.171998
10000	72	7	6.74043
10000	72	8	7.997364
10000	72	9	7.576746
10000	73	0	7.312631
10000	73	1	6.52516
10000	73	2	7.438332
10000	73	3	6.796419
10000	73	4	6.594729
10000	73	5	6.976569
10000	73	6	6.88079
10000	73	7	6.703401
10000	73	8	6.444536
10000	73	9	6.553629
10000	74	0	7.080345
10000	74	1	6.616206
10000	74	2	6.51466
10000	74	3	6.522983
10000	74	4	6.883238
10000	74	5	6.808724
10000	74	6	6.84098
10000	74	7	6.64699
10000	74	8	6.595351
10000	74	9	6.583777
10000	75	0	6.723796
10000	75	1	7.583723
10000	75	2	6.910969
10000	75	3	6.923522
10000	75	4	6.963938
10000	75	5	6.571978
10000	75	6	6.693757
10000	75	7	6.368146
10000	75	8	6.739761
10000	75	9	6.550493
10000	76	0	6.750012
10000	76	1	6.715632
10000	76	2	9.803789
10000	76	3	8.454429
10000	76	4	7.016367
10000	76	5	6.805743
10000	76	6	6.911763
10000	76	7	7.04542
10000	76	8	6.854175
10000	76	9	6.61207
10000	77	0	7.503928
10000	77	1	6.769963
10000	77	2	6.809237
10000	77	3	6.533612
10000	77	4	7.023633
10000	77	5	6.923737
10000	77	6	6.702438
10000	77	7	6.64726
10000	77	8	7.460833
10000	77	9	8.012575
10000	78	0	7.050791
10000	78	1	6.673608
10000	78	2	8.234981
10000	78	3	7.993622
10000	78	4	6.980167
10000	78	5	6.682743
10000	78	6	6.536284
10000	78	7	6.659619
10000	78	8	7.370705
10000	78	9	6.821134
10000	79	0	7.164749
10000	79	1	6.951457
10000	79	2	6.603367
10000	79	3	6.888553
10000	79	4	7.73133
