length	corrupt	iteration	seconds
100000	41	0	11.830927
100000	41	1	11.801225
100000	41	2	11.450554
100000	41	3	11.820807
100000	41	4	11.600277
100000	41	5	11.776985
100000	41	6	11.440117
100000	41	7	11.303131
100000	41	8	11.86345
100000	41	9	11.357511
100000	42	0	11.486289
100000	42	1	11.55802
100000	42	2	11.812805
100000	42	3	12.876436
100000	42	4	11.891295
100000	42	5	11.525013
100000	42	6	11.910859
100000	42	7	12.398954
100000	42	8	11.588372
100000	42	9	11.330273
100000	43	0	11.46419
100000	43	1	12.164856
100000	43	2	11.815143
100000	43	3	11.616802
100000	43	4	11.461255
100000	43	5	11.194168
100000	43	6	11.591734
100000	43	7	12.626702
100000	43	8	13.086969
100000	43	9	11.386946
100000	44	0	12.180227
100000	44	1	14.025044
100000	44	2	11.775124
100000	44	3	11.485241
100000	44	4	11.870349
100000	44	5	11.769744
100000	44	6	11.850295
100000	44	7	11.653333
100000	44	8	11.667625
100000	44	9	12.912985
100000	45	0	11.996113
100000	45	1	11.969471
100000	45	2	12.026837
100000	45	3	11.92321
100000	45	4	12.376996
100000	45	5	11.935378
100000	45	6	12.039742
100000	45	7	13.147131
100000	45	8	13.466504
100000	45	9	11.666039
100000	46	0	11.834592
100000	46	1	11.534451
100000	46	2	11.965279
100000	46	3	11.979438
100000	46	4	11.666249
100000	46	5	11.837199
100000	46	6	11.358701
100000	46	7	11.545196
100000	46	8	13.505297
100000	46	9	11.77731
100000	47	0	11.824961
100000	47	1	12.64351
100000	47	2	11.966642
100000	47	3	13.035401
100000	47	4	11.949244
100000	47	5	12.049413
100000	47	6	11.720468
100000	47	7	11.849964
100000	47	8	11.80559
100000	47	9	12.078604
100000	48	0	11.839002
100000	48	1	12.556627
100000	48	2	12.097115
100000	48	3	11.936549
100000	48	4	12.036589
100000	48	5	11.645925
100000	48	6	12.353271
100000	48	7	11.501665
100000	48	8	11.820711
100000	48	9	11.809847
100000	49	0	12.005737
100000	49	1	14.496953
100000	49	2	12.257162
100000	49	3	11.46056
100000	49	4	11.784724
100000	49	5	11.517225
100000	49	6	12.119524
100000	49	7	12.42907
100000	49	8	13.566008
100000	49	9	11.934908
100000	50	0	11.861649
100000	50	1	12.146695
100000	50	2	11.946115
100000	50	3	12.249991
100000	50	4	12.053802
100000	50	5	11.731997
100000	50	6	12.266131
100000	50	7	11.907579
100000	50	8	11.409579
100000	50	9	11.843277
100000	51	0	12.131624
100000	51	1	12.623025
100000	51	2	12.300635
100000	51	3	11.871093
100000	51	4	11.789349
100000	51	5	11.849683
100000	51	6	12.175149
100000	51	7	12.682893
100000	51	8	12.045537
100000	51	9	11.93357
100000	52	0	11.395044
100000	52	1	11.699634
100000	52	2	12.287137
100000	52	3	12.062051
100000	52	4	11.807872
100000	52	5	11.778419
100000	52	6	12.107484
100000	52	7	11.451756
100000	52	8	13.313372
100000	52	9	11.867296
100000	53	0	12.163768
100000	53	1	12.113666
100000	53	2	12.495153
100000	53	3	12.413749
100000	53	4	12.01828
100000	53	5	12.149683
100000	53	6	12.269624
100000	53	7	12.379017
100000	53	8	12.147642
100000	53	9	12.05634
100000	54	0	13.786522
100000	54	1	14.266751
100000	54	2	12.25463
100000	54	3	12.246743
100000	54	4	12.279751
100000	54	5	12.728205
100000	54	6	11.899128
100000	54	7	12.139553
100000	54	8	12.34978
100000	54	9	12.372393
100000	55	0	12.307217
100000	55	1	12.293271
100000	55	2	13.157437
100000	55	3	12.578799
100000	55	4	12.474526
100000	55	5	12.155486
100000	55	6	12.241251
100000	55	7	14.133207
100000	55	8	12.726879
100000	55	9	12.715169
100000	56	0	12.40417
100000	56	1	12.138813
100000	56	2	12.235138
100000	56	3	12.387316
100000	56	4	12.254364
100000	56	5	12.361998
100000	56	6	12.27362
100000	56	7	12.249883
100000	56	8	12.449855
100000	56	9	12.199918
100000	57	0	12.759455
100000	57	1	13.445862
100000	57	2	12.556949
100000	57	3	12.45462
100000	57	4	12.507882
100000	57	5	12.435741
100000	57	6	12.224786
100000	57	7	12.603054
100000	57	8	12.641123
100000	57	9	12.34786
100000	58	0	12.235329
100000	58	1	12.80276
100000	58	2	12.183219
100000	58	3	12.152377
100000	58	4	12.653871
100000	58	5	12.212043
100000	58	6	13.477086
100000	58	7	12.776131
100000	58	8	13.061261
100000	58	9	14.080272
100000	59	0	13.182703
100000	59	1	12.458854
100000	59	2	12.362162
100000	59	3	11.809824
100000	59	4	12.263229
100000	59	5	12.393417
100000	59	6	11.946811
100000	59	7	12.881358
100000	59	8	12.045321
100000	59	9	12.218904
100000	60	0	12.270085
100000	60	1	11.78355
100000	60	2	12.527726
100000	60	3	12.312391
100000	60	4	11.857452
100000	60	5	12.295885
100000	60	6	11.776
100000	60	7	12.285561
100000	60	8	12.397592
100000	60	9	12.065674
100000	61	0	11.751328
100000	61	1	12.871053
100000	61	2	12.174993
100000	61	3	12.222639
100000	61	4	12.159377
100000	61	5	13.031827
100000	61	6	13.276466
100000	61	7	12.075166
100000	61	8	12.043801
100000	61	9	12.037352
100000	62	0	11.838337
100000	62	1	12.467917
100000	62	2	12.027843
100000	62	3	12.295722
100000	62	4	12.326129
100000	62	5	12.240143
100000	62	6	12.143826
100000	62	7	11.801723
100000	62	8	11.745417
100000	62	9	12.36642
100000	63	0	12.383482
100000	63	1	12.924277
100000	63	2	11.824887
100000	63	3	12.355151
100000	63	4	12.234889
100000	63	5	11.723833
